"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"FF","2024-06-18","93.9","2.66","5.51","Perez, Salvador",521692,663687,"field_out","hit_into_play",,,,,5,"Salvador Perez flies out to center fielder JJ Bleday.","R","R","L","OAK","KC","X",8,"fly_ball",2,0,2024,"1.13","1.15","0.03","2.6",,,686469,2,5,"Top",126.52,44.98,,,669127,,,-9.397091166171993,-136.32290643003878,-4.39183603124052,16.1657583361635,30.788411470011894,-16.997480850147973,"3.62","1.72",381,"99.9",29,"94.7",2265,"7",745650,663687,669127,691016,680869,663527,680474,609280,668709,671732,"53.55",0.58,1.075,"0",1,0,0,6,45,3,"4-Seam Fastball",7,3,3,7,3,7,3,7,"Standard","Standard",133,"0.014","-0.297",74.62304230965805,"7.61987"
"SI","2024-06-18","91.5","-3.18","5.61","Bethancourt, Christian",542194,458681,"home_run","hit_into_play",,,,,4,"Christian Bethancourt homers (2) on a fly ball to left field.","R","R","R","MIA","STL","X",,"fly_ball",2,1,2024,"-0.67","0.48","-0.61","2.4",,,,1,6,"Bot",37.31,68.99,,,671056,,,7.8871062508789045,-133.03522170559492,-3.241376774167674,-9.66864555059756,28.06072597360198,-26.01064293616285,"3.55","1.72",388,"102",25,"91.1",2333,"6.1",746049,458681,671056,502671,669357,680977,543063,676475,672279,666185,"54.43",0.669,1.169,"2",1,0,3,6,58,4,"Sinker",5,7,5,7,7,6,6,7,"Standard","Standard",210,"0.134","0.971",76.51003857795477,"7.56741"
"KC","2024-06-18","78.9","-1.8","5.19","Machado, Manny",592518,605400,"field_out","hit_into_play",,,,,14,"Manny Machado flies out to left fielder Brandon Marsh.","R","R","R","PHI","SD","X",7,"fly_ball",1,2,2024,"0.97","-0.97","0.09","1.04",,,595777,2,6,"Top",43.28,102.92,,,596117,,,2.3002906906612273,-114.8276619748714,-0.27398597277352743,7.964664065031422,25.19096241910582,-40.80599860703536,"3.75","1.66",311,"88.4",38,"78.7",2629,"6.6",745563,605400,596117,547180,681082,664761,607208,669016,665506,592206,"53.91",0.017,0.025,"0",1,0,0,3,47,5,"Knuckle Curve",1,3,3,1,3,1,3,1,"Standard","Standard",60,"0.018","-0.163",68.23520156007349,"8.93796"
"ST","2024-06-18","82.2","-2.51","5.65","Peña, Jeremy",665161,686563,"field_out","hit_into_play",,,,,6,"Jeremy Peña flies out to left fielder Andrew Benintendi.","R","R","R","CWS","HOU","X",7,"fly_ball",1,1,2024,"1.03","0.12","0.29","2.88",,,,2,8,"Top",67,94,,,686676,,,4.328475976077914,-119.73201997802346,-0.06839839370488998,9.28059760066035,20.359475449997607,-31.195715582571,"3.65","1.71",322,"93.8",35,"82.1",2588,"5.9",746783,686563,686676,683734,670032,672820,657557,643217,673357,502054,"54.59",0.08,0.129,"0",1,0,0,3,57,3,"Sweeper",2,0,0,2,0,2,0,2,"Infield shade","Standard",69,"0.013","-0.091",73.60456106860622,"7.59107"
"FF","2024-06-18","91","2.01","6.53","Vargas, Miguel",678246,596295,"double","hit_into_play",,,,,8,"Miguel Vargas doubles (4) on a sharp line drive to left fielder Nolan Jones.   Enrique Hernández scores.","R","R","L","COL","LAD","X",7,"line_drive",1,0,2024,"0.5","1.37","-0.18","2.09",,,571771,2,7,"Top",66.99,40.4,,,696100,,,-6.6420829465376485,-132.2448267760412,-8.320895888165172,7.127101324874513,23.735777965024354,-14.573669273914232,"3.43","1.68",378,"110.8",19,"92.5",2304,"6.9",746542,596295,696100,669911,676701,641857,678662,666134,686668,595909,"53.61",0.897,1.363,"1.25",1,1,1,6,58,2,"4-Seam Fastball",8,3,3,8,4,8,4,8,"Strategic","Standard",165,"-0.022","0.725",74.75427714877078,"8.21654"
"FF","2024-06-18","94.4","-2.07","5.99","Semien, Marcus",543760,622663,"field_out","hit_into_play",,,,,5,"Marcus Semien flies out to left fielder DJ Stewart.","R","R","R","TEX","NYM","X",7,"fly_ball",3,2,2024,"-0.59","1.25","0.09","2.68",,,,0,7,"Bot",41.19,78.81,,,682626,,,6.979341329001145,-137.32293117398572,-5.748291296155602,-8.982360433684606,30.39329242846936,-15.251210760857237,"3.31","1.63",361,"92.6",33,"94.8",2156,"6.5",745004,622663,682626,624413,643446,668901,596019,621466,607043,516782,"53.97",0.086,0.144,"0",1,0,0,3,57,8,"4-Seam Fastball",6,4,6,4,4,6,6,4,"Standard","Standard",215,"-0.01","-0.297",75.33499673873223,"7.71488"
"CH","2024-06-18","87.9","3.45","5.44","Triolo, Jared",669707,666157,"field_out","hit_into_play",,,,,9,"Jared Triolo flies out to right fielder Jake Fraley.","R","R","L","PIT","CIN","X",9,"fly_ball",1,1,2024,"1.35","0.13","0.42","2.11",,,658668,1,7,"Bot",203.09,92.91,,,571912,,,-10.174157932020696,-127.64177083691132,-2.24968421963617,16.826653811027864,24.952225588136763,-30.455713939520884,"3.59","1.67",323,"94.6",39,"88.2",2024,"6.5",745488,666157,571912,600869,663697,669289,682829,668715,656413,641584,"54.03",0.071,0.122,"0",1,0,0,3,51,3,"Changeup",1,2,1,2,2,1,1,2,"Standard","Standard",104,"-0.061","-0.287",75.94371329857522,"8.02489"
"CH","2024-06-18","86.5","-3.07","5.39","Harper, Bryce",547180,650633,"field_out","hit_into_play",,,,,4,"Bryce Harper lines out to right fielder David Peralta.","R","L","R","PHI","SD","X",9,"line_drive",3,1,2024,"-1.41","0.16","-0.83","2.15",,,,0,5,"Bot",159.79,82.18,,,669134,,,8.180105897996183,-125.78669343838,-1.8445523099704273,-16.643513961763215,25.880257083841496,-30.260114242162203,"3.25","1.65",302,"87.7",24,"86",2033,"6",745563,650633,669134,456781,630105,592518,642180,595777,701538,444482,"54.47",0.151,0.165,"0",1,0,0,3,36,5,"Changeup",1,0,1,0,0,1,1,0,"Infield shade","Standard",245,"-0.021","-0.375",80.11323224746694,"7.71923"
"CH","2024-06-18","81.7","2.43","5.61","Witt Jr., Bobby",677951,663687,"field_out","hit_into_play",,,,,6,"Bobby Witt Jr.  lines out to left fielder Miguel Andujar.","R","R","L","OAK","KC","X",7,"line_drive",1,1,2024,"1.42","0.88","0.7","2.53",,,,1,5,"Top",87.65,68.55,,,669127,,,-6.749869972899089,-118.79239690639933,-2.0396861197758254,14.78536782331923,23.5538418166474,-23.65919967931332,"3.56","1.7",336,"90.2",24,"82.7",2224,"7.1",745650,663687,669127,691016,680869,663527,680474,609280,668709,671732,"53.42",0.171,0.182,"0",1,0,0,3,43,3,"Changeup",7,3,3,7,3,7,3,7,"Standard","Standard",119,"0.011","-0.159",75.21346038186603,"7.7884"
"FF","2024-06-18","93.5","-1.38","6","Contreras, William",661388,656288,"field_out","hit_into_play",,,,,6,"William Contreras flies out to right fielder Jo Adell.","R","R","R","LAA","MIL","X",9,"fly_ball",0,1,2024,"-0.18","1.29","0.76","2.87",,,,0,5,"Top",172.83,78.73,,,681351,,,5.877758052062779,-135.96545533282853,-5.119923888068386,-3.5423823503711445,30.118128997101916,-15.227930838680651,"3.49","1.68",319,"93.3",42,"93",2081,"6.1",746217,656288,681351,694384,592273,650859,687263,621493,666160,666176,"54.45",0.003,0.004,"0",1,0,0,3,36,2,"4-Seam Fastball",0,5,5,0,5,0,5,0,"Standard","Standard",214,"0.004","-0.191",74.39106553518724,"7.53104"
