batter, batter_name, des, description, game_pk, hc_x, hc_y, hit_angle, hit_distance, hit_speed, inning, outs, pitcher, pitcher_name, play_id, team_batting, team_fielding, date
605141, Betts, Mookie, field_out, hit_into_play, 745444, 129.18, 54.61, 28, 361, 96.3, 7, 0, 593974, Grinch, Unknown, Unknown, Unknown, 2024-03-20
630105, Cronenworth, Jake, field_out, hit_into_play, 745444, 121.18, 46.7, 25, 384, 100.4, 8, 1, 523260, Grinch, Unknown, Unknown, Unknown, 2024-03-20
606192, Hernández, Teoscar, field_out, hit_into_play, 745444, 127.56, 115.85, 45, 313, 105.3, 6, 0, 660853, Grinch, Unknown, Unknown, Unknown, 2024-03-20
666158, Lux, Gavin, field_out, hit_into_play, 745444, 76.18, 72.84, 27, 341, 94.2, 6, 2, 673513, Grinch, Unknown, Unknown, Unknown, 2024-03-20
669257, Smith, Will, field_out, hit_into_play, 745444, 75.3, 106.32, 33, 310, 86.6, 1, 2, 506433, Grinch, Unknown, Unknown, Unknown, 2024-03-20
701538, Merrill, Jackson, field_out, hit_into_play, 745444, 121.88, 89.11, 18, 352, 105.7, 3, 0, 607192, Grinch, Unknown, Unknown, Unknown, 2024-03-20
673490, Kim, Ha-Seong, field_out, hit_into_play, 746175, 66.19, 89.11, 44, 321, 101.6, 6, 0, 681911, Grinch, Unknown, Unknown, Unknown, 2024-03-21
660271, Ohtani, Shohei, field_out, hit_into_play, 746175, 174.74, 52.8, 31, 382, 100.3, 7, 1, 673513, Grinch, Unknown, Unknown, Unknown, 2024-03-21
605141, Betts, Mookie, double, hit_into_play, 746175, 44.88, 79.94, 28, 366, 97.2, 3, 2, 676680, Grinch, Unknown, Unknown, Unknown, 2024-03-21
665487, Tatis Jr., Fernando, field_out, hit_into_play, 746175, 152.26, 66.83, 24, 344, 95.6, 7, 0, 642232, Grinch, Unknown, Unknown, Unknown, 2024-03-21
642180, Wade, Tyler, field_out, hit_into_play, 746175, 110.33, 75.34, 17, 323, 96.5, 4, 2, 669165, Grinch, Unknown, Unknown, Unknown, 2024-03-21
592518, Machado, Manny, home_run, hit_into_play, 746175, 48.98, 54.68, 25, 395, 107.7, 9, 0, 656420, Grinch, Unknown, Unknown, Unknown, 2024-03-21
669257, Smith, Will, double, hit_into_play, 746175, 174.71, 62.81, 24, 365, 103.7, 1, 1, 605397, Grinch, Unknown, Unknown, Unknown, 2024-03-21
701538, Merrill, Jackson, double, hit_into_play, 746175, 204.61, 74.87, 21, 378, 106.9, 5, 0, 669165, Grinch, Unknown, Unknown, Unknown, 2024-03-21
595777, Profar, Jurickson, field_out, hit_into_play, 746175, 151.84, 67.96, 20, 338, 102.5, 3, 0, 675627, Grinch, Unknown, Unknown, Unknown, 2024-03-21
669257, Smith, Will, field_out, hit_into_play, 746175, 116, 67.22, 31, 330, 91.3, 9, 1, 663158, Grinch, Unknown, Unknown, Unknown, 2024-03-21
669134, Campusano, Luis, field_out, hit_into_play, 746175, 107.62, 68.34, 29, 332, 87.9, 7, 2, 642232, Grinch, Unknown, Unknown, Unknown, 2024-03-21
605141, Betts, Mookie, home_run, hit_into_play, 746175, 52.83, 61.78, 29, 400, 101.5, 5, 1, 650633, Grinch, Unknown, Unknown, Unknown, 2024-03-21
518792, Heyward, Jason, field_out, hit_into_play, 746175, 196.77, 80.44, 26, 344, 92.7, 2, 0, 605397, Grinch, Unknown, Unknown, Unknown, 2024-03-21
660271, Ohtani, Shohei, field_out, hit_into_play, 746175, 177.55, 62.15, 20, 372, 102.4, 5, 1, 650633, Grinch, Unknown, Unknown, Unknown, 2024-03-21
665489, Guerrero Jr., Vladimir, field_out, hit_into_play, 745116, 110.1, 39.61, 31, 395, 105.6, 9, 0, 664208, Grinch, Unknown, Unknown, Unknown, 2024-03-28
665833, Cruz, Oneil, home_run, hit_into_play, 746089, 48.04, 64.23, 23, 384, 105.5, 8, 0, 664350, Grinch, Unknown, Unknown, Unknown, 2024-03-28
650391, Jiménez, Eloy, field_out, hit_into_play, 746821, 47.26, 105.58, 16, 300, 99, 7, 0, 571946, Grinch, Unknown, Unknown, Unknown, 2024-03-28
672580, Garcia, Maikel, home_run, hit_into_play, 746335, 38.09, 63.26, 30, 398, 99.2, 1, 0, 641154, Grinch, Unknown, Unknown, Unknown, 2024-03-28
